STATE,REGION,ID
AL,Eastern,1
AR,Eastern,2
AZ,Western,3
CA,Western,4
CO,Western,5
DC,Eastern,6
CT,Eastern,7
DE,Eastern,8
FL,Eastern,9
GA,Eastern,10
IA,Eastern,11
ID,Western,12
IL,Eastern,13
IN,Eastern,14
HI,Eastern,15
KS,Eastern,16
KY,Eastern,17
LA,Eastern,18
MA,Eastern,19
MD,Eastern,20
ME,Eastern,21
MI,Eastern,22
MN,Eastern,23
MO,Eastern,24
MS,Eastern,25
MT,Eastern,26
MT,Western,27
NC,Eastern,28
ND,Eastern,29
NE,Eastern,30
NH,Eastern,31
NJ,Eastern,32
NM,Western,33
NV,Western,34
NY,Eastern,35
OH,Eastern,36
OK,Eastern,37
OR,Western,38
PA,Eastern,39
RI,Eastern,40
SC,Eastern,41
SD,Eastern,42
TN,Eastern,43
TX,Texas,44
TX,Eastern,45
TX,Western,46
UT,Western,47
VA,Eastern,48
VT,Eastern,49
WA,Western,50
WI,Eastern,51
WV,Eastern,52
WY,Western,53
